timestamp,pkts_30s_src0,pkts_30s_src1,pkts_30s_src2,pkts_30s_src3,pkts_30s_src4,pkts_30s_src5,pkts_10s_src0,pkts_10s_src1,pkts_10s_src2,pkts_10s_src3,pkts_10s_src4,pkts_10s_src5,pkts_5s_src0,pkts_5s_src1,pkts_5s_src2,pkts_5s_src3,pkts_5s_src4,pkts_5s_src5,avg_pkt_size_30s_src0,avg_pkt_size_30s_src1,avg_pkt_size_30s_src2,avg_pkt_size_30s_src3,avg_pkt_size_30s_src4,avg_pkt_size_30s_src5,avg_pkt_size_10s_src0,avg_pkt_size_10s_src1,avg_pkt_size_10s_src2,avg_pkt_size_10s_src3,avg_pkt_size_10s_src4,avg_pkt_size_10s_src5,avg_pkt_size_5s_src0,avg_pkt_size_5s_src1,avg_pkt_size_5s_src2,avg_pkt_size_5s_src3,avg_pkt_size_5s_src4,avg_pkt_size_5s_src5,pkt_size_var_30s_src0,pkt_size_var_30s_src1,pkt_size_var_30s_src2,pkt_size_var_30s_src3,pkt_size_var_30s_src4,pkt_size_var_30s_src5,pkt_size_var_10s_src0,pkt_size_var_10s_src1,pkt_size_var_10s_src2,pkt_size_var_10s_src3,pkt_size_var_10s_src4,pkt_size_var_10s_src5,pkt_size_var_5s_src0,pkt_size_var_5s_src1,pkt_size_var_5s_src2,pkt_size_var_5s_src3,pkt_size_var_5s_src4,pkt_size_var_5s_src5,tcp_30s_src0,tcp_30s_src1,tcp_30s_src2,tcp_30s_src3,tcp_30s_src4,tcp_30s_src5,tcp_10s_src0,tcp_10s_src1,tcp_10s_src2,tcp_10s_src3,tcp_10s_src4,tcp_10s_src5,tcp_5s_src0,tcp_5s_src1,tcp_5s_src2,tcp_5s_src3,tcp_5s_src4,tcp_5s_src5,udp_30s_src0,udp_30s_src1,udp_30s_src2,udp_30s_src3,udp_30s_src4,udp_30s_src5,udp_10s_src0,udp_10s_src1,udp_10s_src2,udp_10s_src3,udp_10s_src4,udp_10s_src5,udp_5s_src0,udp_5s_src1,udp_5s_src2,udp_5s_src3,udp_5s_src4,udp_5s_src5,queue_avg_30s_src0,queue_var_30s_src0,queue_avg_30s_src1,queue_var_30s_src1,queue_avg_30s_src2,queue_var_30s_src2,queue_avg_30s_src3,queue_var_30s_src3,queue_avg_30s_src4,queue_var_30s_src4,queue_avg_30s_src5,queue_var_30s_src5,queue_avg_10s_src0,queue_var_10s_src0,queue_avg_10s_src1,queue_var_10s_src1,queue_avg_10s_src2,queue_var_10s_src2,queue_avg_10s_src3,queue_var_10s_src3,queue_avg_10s_src4,queue_var_10s_src4,queue_avg_10s_src5,queue_var_10s_src5,queue_avg_5s_src0,queue_var_5s_src0,queue_avg_5s_src1,queue_var_5s_src1,queue_avg_5s_src2,queue_var_5s_src2,queue_avg_5s_src3,queue_var_5s_src3,queue_avg_5s_src4,queue_var_5s_src4,queue_avg_5s_src5,queue_var_5s_src5,label
128.5,17,68,9,413,4,4,2,0,7,165,2,2,1,0,4,85,0,1,474.3529411764706,1009.4117647058824,286.6666666666667,60.0,117.75,89.25,500.0,0.0,354.85714285714283,60.0,113.5,91.0,500.0,0.0,542.0,60.0,0.0,118.0,11182.117647058823,14471.529411764706,175780.0,0.0,7057.583333333333,2543.583333333333,0.0,0.0,209875.8095238095,0.0,4900.5,1458.0,0.0,0.0,309765.3333333333,0.0,0.0,0.0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,17,68,2,0,4,4,2,0,0,0,2,2,1,0,0,0,0,1,22.4252427184466,147.84410864719882,22.4252427184466,147.84410864719882,22.4252427184466,147.84410864719882,22.4252427184466,147.84410864719882,22.4252427184466,147.84410864719882,22.4252427184466,147.84410864719882,29.269662921348317,128.31105186313718,29.269662921348317,128.31105186313718,29.269662921348317,128.31105186313718,29.269662921348317,128.31105186313718,29.269662921348317,128.31105186313718,29.269662921348317,128.31105186313718,32.82967032967033,204.66788766788764,32.82967032967033,204.66788766788764,32.82967032967033,204.66788766788764,32.82967032967033,204.66788766788764,32.82967032967033,204.66788766788764,32.82967032967033,204.66788766788764,1
176.5,14,75,11,378,18,2,6,0,4,128,1,0,4,0,4,65,1,0,500.0,997.9733333333334,345.09090909090907,60.0,819.0,141.5,500.0,0.0,783.0,60.0,156.0,0.0,500.0,0.0,783.0,60.0,156.0,0.0,0.0,25065.674954954957,191312.2909090909,0.0,156443.41176470587,23980.5,0.0,0.0,232324.0,0.0,0.0,0.0,0.0,0.0,232324.0,0.0,0.0,0.0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,14,75,1,0,18,2,6,0,0,0,1,0,4,0,0,0,1,0,64.85642570281125,477.7283389089558,64.85642570281125,477.7283389089558,64.85642570281125,477.7283389089558,64.85642570281125,477.7283389089558,64.85642570281125,477.7283389089558,64.85642570281125,477.7283389089558,63.94964028776978,688.877880304452,63.94964028776978,688.877880304452,63.94964028776978,688.877880304452,63.94964028776978,688.877880304452,63.94964028776978,688.877880304452,63.94964028776978,688.877880304452,62.52702702702703,802.0061088485745,62.52702702702703,802.0061088485745,62.52702702702703,802.0061088485745,62.52702702702703,802.0061088485745,62.52702702702703,802.0061088485745,62.52702702702703,802.0061088485745,1
149.5,10,1,10,454,45,24,4,0,1,125,42,21,2,0,1,62,34,1,500.0,32.0,360.4,60.0,941.9333333333332,1185.75,500.0,0.0,64.0,60.0,1003.047619047619,1344.952380952381,500.0,0.0,64.0,60.0,1024.0,244.0,0.0,0.0,210614.9333333333,0.0,70870.74545454545,240630.71739130435,0.0,0.0,0.0,0.0,18438.095238095244,63635.04761904762,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,10,1,2,0,45,4,4,0,1,0,42,1,2,0,1,0,34,1,41.494485294117645,862.8158074693966,41.494485294117645,862.8158074693966,41.494485294117645,862.8158074693966,41.494485294117645,862.8158074693966,41.494485294117645,862.8158074693966,41.494485294117645,862.8158074693966,44.380829015544045,1080.0898909758205,44.380829015544045,1080.0898909758205,44.380829015544045,1080.0898909758205,44.380829015544045,1080.0898909758205,44.380829015544045,1080.0898909758205,44.380829015544045,1080.0898909758205,50.115,713.933611111111,50.115,713.933611111111,50.115,713.933611111111,50.115,713.933611111111,50.115,713.933611111111,50.115,713.933611111111,1
291.0,26,62,2,59,3,5,0,2,1,50,0,2,0,0,1,32,0,1,840.1538461538462,992.516129032258,32.0,898.3898305084746,149.0,82.0,0.0,48.0,32.0,1008.3,0.0,99.0,0.0,0.0,32.0,999.46875,0.0,134.0,147839.33538461538,30232.909571655207,0.0,102874.00058445356,12523.0,1752.0,0.0,512.0,0.0,12324.499999999998,0.0,2450.0,0.0,0.0,0.0,19257.03125,0.0,0.0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,62,2,53,3,5,0,2,1,50,0,2,0,0,1,32,0,1,9.35031847133758,80.87969541074638,9.35031847133758,80.87969541074638,9.35031847133758,80.87969541074638,9.35031847133758,80.87969541074638,9.35031847133758,80.87969541074638,9.35031847133758,80.87969541074638,1.0727272727272728,0.1427609427609427,1.0727272727272728,0.1427609427609427,1.0727272727272728,0.1427609427609427,1.0727272727272728,0.1427609427609427,1.0727272727272728,0.1427609427609427,1.0727272727272728,0.1427609427609427,1.25,0.1098484848484848,1.25,0.1098484848484848,1.25,0.1098484848484848,1.25,0.1098484848484848,1.25,0.1098484848484848,1.25,0.1098484848484848,0
644.5,45,2,12,11,81,25,36,0,1,9,54,15,36,0,1,0,4,1,939.2,48.0,396.6666666666667,357.0,989.506172839506,1143.24,1024.0,0.0,64.0,412.22222222222223,1005.6296296296296,1233.8,1024.0,0.0,64.0,0.0,776.0,64.0,75497.16363636366,512.0,215612.60606060605,186341.0,31598.15308641976,276041.94,0.0,0.0,0.0,212594.44444444447,18223.40740740741,193514.8857142857,0.0,0.0,0.0,0.0,246016.0,0.0,7,0,8,6,0,20,0,0,0,6,0,13,0,0,0,0,0,0,37,2,3,3,81,5,36,0,1,1,54,2,36,0,1,0,4,1,1.974431818181818,7.552199675324674,1.974431818181818,7.552199675324674,1.974431818181818,7.552199675324674,1.974431818181818,7.552199675324674,1.974431818181818,7.552199675324674,1.974431818181818,7.552199675324674,2.608695652173913,9.937643020594969,2.608695652173913,9.937643020594969,2.608695652173913,9.937643020594969,2.608695652173913,9.937643020594969,2.608695652173913,9.937643020594969,2.608695652173913,9.937643020594969,0.8214285714285714,0.2905052264808362,0.8214285714285714,0.2905052264808362,0.8214285714285714,0.2905052264808362,0.8214285714285714,0.2905052264808362,0.8214285714285714,0.2905052264808362,0.8214285714285714,0.2905052264808362,0
883.0,60,52,9,79,26,3,59,6,8,62,23,0,24,1,5,8,22,0,1007.4666666666668,985.8461538461538,194.22222222222223,906.1012658227849,849.6153846153846,97.33333333333331,1024.0,858.6666666666666,214.5,904.0,947.217391304348,0.0,1024.0,32.0,280.0,559.0,980.3636363636364,0.0,16401.066666666666,37106.48567119156,98304.44444444444,97406.45115222332,134083.84615384616,7557.333333333333,0.0,164010.6666666667,108118.57142857143,99033.18032786885,65256.268774703545,0.0,0.0,0.0,174136.0,247774.85714285716,41890.909090909096,0.0,0,0,6,4,0,0,0,0,6,4,0,0,0,0,4,3,0,0,60,52,1,73,26,3,59,6,0,56,23,0,24,1,0,4,22,0,23.91703056768559,243.3856297402896,23.91703056768559,243.3856297402896,23.91703056768559,243.3856297402896,23.91703056768559,243.3856297402896,23.91703056768559,243.3856297402896,23.91703056768559,243.3856297402896,33.110759493670884,71.50835483350804,33.110759493670884,71.50835483350804,33.110759493670884,71.50835483350804,33.110759493670884,71.50835483350804,33.110759493670884,71.50835483350804,33.110759493670884,71.50835483350804,36.766666666666666,75.09717514124294,36.766666666666666,75.09717514124294,36.766666666666666,75.09717514124294,36.766666666666666,75.09717514124294,36.766666666666666,75.09717514124294,36.766666666666666,75.09717514124294,0
210.5,67,1,8,309,56,5,63,0,6,52,3,2,50,0,5,29,1,1,977.910447761194,32.0,71.0,60.336569579288025,922.4642857142856,105.0,1008.2539682539684,0.0,78.66666666666667,62.0,84.33333333333333,97.5,1024.0,0.0,88.0,60.13793103448276,157.0,32.0,29394.59791949345,0.0,1411.428571428571,32.40583364855212,87689.27142857142,8086.0,15620.063492063491,0.0,1591.4666666666667,192.31372549019608,4216.333333333334,8580.5,0.0,0.0,1336.0,0.5517241379310345,0.0,0.0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,67,1,4,2,56,5,63,0,2,2,3,2,50,0,1,1,1,1,63.51008968609865,676.3139429132866,63.51008968609865,676.3139429132866,63.51008968609865,676.3139429132866,63.51008968609865,676.3139429132866,63.51008968609865,676.3139429132866,63.51008968609865,676.3139429132866,58.18253968253968,994.8664126984124,58.18253968253968,994.8664126984124,58.18253968253968,994.8664126984124,58.18253968253968,994.8664126984124,58.18253968253968,994.8664126984124,58.18253968253968,994.8664126984124,52.68023255813954,935.9936046511624,52.68023255813954,935.9936046511624,52.68023255813954,935.9936046511624,52.68023255813954,935.9936046511624,52.68023255813954,935.9936046511624,52.68023255813954,935.9936046511624,0
794.0,38,23,14,43,12,322,38,1,2,4,9,117,14,1,1,3,6,68,997.8947368421052,1222.9565217391305,500.0,920.5813953488372,565.5833333333334,60.0,997.8947368421052,32.0,500.0,105.5,718.1111111111111,60.0,953.1428571428572,32.0,500.0,130.0,1024.0,60.0,25896.421052631573,218491.95256917,0.0,84035.39202657808,232238.08333333337,0.0,25896.421052631573,0.0,0.0,5763.666666666667,211872.11111111112,0.0,70290.2857142857,0.0,0.0,5044.0,0.0,0.0,0,20,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,38,3,14,40,12,0,38,1,2,2,9,0,14,1,1,1,6,0,81.78871681415929,429.23962850499385,81.78871681415929,429.23962850499385,81.78871681415929,429.23962850499385,81.78871681415929,429.23962850499385,81.78871681415929,429.23962850499385,81.78871681415929,429.23962850499385,75.86549707602339,68.52297901616788,75.86549707602339,68.52297901616788,75.86549707602339,68.52297901616788,75.86549707602339,68.52297901616788,75.86549707602339,68.52297901616788,75.86549707602339,68.52297901616788,76.0752688172043,32.58122954651706,76.0752688172043,32.58122954651706,76.0752688172043,32.58122954651706,76.0752688172043,32.58122954651706,76.0752688172043,32.58122954651706,76.0752688172043,32.58122954651706,1
33.0,6,2,1,4,2,3,1,0,0,1,0,0,0,0,0,1,0,0,388.6666666666667,48.0,32.0,98.5,100.0,114.66666666666669,64.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,243177.0666666666,512.0,0.0,3577.0,9248.0,13589.333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,4,2,3,1,0,0,1,0,0,0,0,0,1,0,0,0.4166666666666667,0.0367647058823529,0.4166666666666667,0.0367647058823529,0.4166666666666667,0.0367647058823529,0.4166666666666667,0.0367647058823529,0.4166666666666667,0.0367647058823529,0.4166666666666667,0.0367647058823529,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0
806.0,39,21,16,6,51,315,1,0,7,1,25,64,0,0,6,1,1,24,973.8461538461538,1334.857142857143,348.0,97.0,952.4117647058824,60.0,60.0,0.0,152.57142857142858,32.0,988.08,60.0,0.0,0.0,94.66666666666669,32.0,126.0,60.0,47769.97570850202,89115.42857142857,41518.93333333333,4553.2,61642.48705882353,0.0,0.0,0.0,24583.619047619053,0.0,32256.160000000003,0.0,0.0,0.0,1335.4666666666667,0.0,0.0,0.0,1,20,4,2,0,0,1,0,4,0,0,0,0,0,4,0,0,0,38,1,11,3,51,0,0,0,2,1,25,0,0,0,1,1,1,0,77.01674107142857,455.7843947247524,77.01674107142857,455.7843947247524,77.01674107142857,455.7843947247524,77.01674107142857,455.7843947247524,77.01674107142857,455.7843947247524,77.01674107142857,455.7843947247524,75.93877551020408,580.9549758047549,75.93877551020408,580.9549758047549,75.93877551020408,580.9549758047549,75.93877551020408,580.9549758047549,75.93877551020408,580.9549758047549,75.93877551020408,580.9549758047549,84.8125,619.9637096774194,84.8125,619.9637096774194,84.8125,619.9637096774194,84.8125,619.9637096774194,84.8125,619.9637096774194,84.8125,619.9637096774194,0
